month,total_txn,total_amount,revenue,active_users,new_users,returning_users,AOV,revenue_per_user,take_rate,pct_new_users,mom_gmv_growth,mom_revenue_growth
2020-01,1000,53814234.0,1409827.02,1000,85,915,53814.234,1409.82702,0.02619803191846975,0.085,,
2020-02,972,52680000.0,1378500.0,969,91,878,54197.53086419753,1422.6006191950464,0.02616742596810934,0.09391124871001032,-0.021076840004821018,-0.02222047070710842
2020-03,1098,58200000.0,1584000.0,1098,113,985,53005.46448087432,1442.622950819672,0.027216494845360824,0.1029143897996357,0.10478359908883816,0.14907508161044625
2020-04,1027,54150000.0,1488300.0,1027,81,946,52726.38753651412,1449.172346640701,0.027484764542936288,0.07887049659201557,-0.06958762886597936,-0.060416666666666674
2020-05,1104,52950000.0,1463700.0,1104,72,1032,47961.95652173913,1325.8152173913043,0.027643059490084988,0.06521739130434782,-0.02216066481994461,-0.016528925619834656
2020-06,1118,58250000.0,1617200.0,1116,62,1054,52101.96779964222,1449.1039426523298,0.027763090128755365,0.05555555555555555,0.10009442870632679,0.1048712167793946
2020-07,1153,58940000.0,1581900.0,1149,72,1077,51118.82046834345,1376.762402088773,0.02683915846623685,0.06266318537859007,0.011845493562231857,-0.021827850605985688
2020-08,1153,59950000.0,1618700.0,1153,84,1069,51994.79618386817,1403.9028620988724,0.027000834028356964,0.07285342584562012,0.017136070580251017,0.023263164548960047
2020-09,1189,63400000.0,1702200.0,1189,82,1107,53322.11942809083,1431.623212783852,0.026848580441640377,0.06896551724137931,0.057547956630525476,0.05158460492988204
2020-10,1211,61690000.0,1690900.0,1209,79,1130,50941.37076796036,1398.5938792390405,0.027409628789106823,0.065343258891646,-0.02697160883280758,-0.0066384678651156825
2020-11,1215,59270000.0,1539300.0,1214,90,1124,48781.89300411523,1267.9571663920922,0.025970980259827907,0.07413509060955518,-0.039228400064840296,-0.08965639600212905
2020-12,1255,61310000.0,1638200.0,1234,76,1158,48852.589641434264,1327.5526742301458,0.02671994780623063,0.06158833063209076,0.03441876159946,0.06424998375885149
